,flow,src,src_port,dst,Destination Port,protocol,timestamp,Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,total_bpktl,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,mean_biat,std_biat,Bwd IAT Max,min_biat,Fwd PSH Flags,bpsh_cnt,furg_cnt,burg_cnt,Fwd Header Length,total_bhlen,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Mean Packet Length,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,flow_cwr,flow_ece,downUpRatio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,Min Header size_forward,mean_active_s,std_active_s,max_active_s,min_active_s,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10,192.168.18.9:46696<->198.16.66.124:46696,192.168.18.9,46696.0,198.16.66.124,0.0,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9983489917653,224.9983489917653,0.0,0.0,0.0,224.9983489917653,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.743916749011858,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
11,192.168.18.9:43502<->207.244.89.161:43502,192.168.18.9,43502.0,207.244.89.161,0.0,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99834908863522,224.99834908863522,0.0,0.0,0.0,224.99834908863522,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.743916749011858,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
12,198.16.66.124:80<->192.168.18.9:80,198.16.66.124,80.0,192.168.18.9,172.43612928681813,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9983490297453,224.9983490297453,0.0,0.0,0.0,224.9983490297453,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,0.7885838685770752,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
13,192.168.18.9:46696<->198.16.66.124:46696,192.168.18.9,46696.0,198.16.66.124,0.0,TCP,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99834902966595,224.99834902966595,0.0,0.0,0.0,224.99834902966595,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,None
14,192.168.18.9:45746<->198.16.66.99:45746,192.168.18.9,45746.0,198.16.66.99,0.0,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99834899177256,224.99834899177256,0.0,0.0,0.0,224.99834899177256,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.743916749011858,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
15,192.168.18.9:43502<->207.244.89.161:43502,192.168.18.9,43502.0,207.244.89.161,0.0,TCP,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99834912108895,224.99834912108895,0.0,0.0,0.0,224.99834912108895,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,None
16,34.120.208.123:443<->192.168.18.9:443,34.120.208.123,443.0,192.168.18.9,194.01653898004142,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99830079426332,224.99830079426332,0.0,0.0,0.0,224.99830079426332,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,0.9483850049407114,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
17,192.168.18.9:52530<->34.120.208.123:52530,192.168.18.9,52530.0,34.120.208.123,1.342764607240325,TCP,0.0,225.0,0.0,0.0,5.476673427991886,0.0,25.796178343949045,6.338028169014085,17.724288840262584,0.0,0.0,0.0,0.0,0.0,0.002263714162163164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99830078687003,224.99830078687003,0.0,0.0,0.0,224.99830078687003,0.0,112.5,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,25.796178343949045,6.338028169014085,23.329493087557605,0.0,0.0,225.0,0.0,0.0,56.25,32.14285714285714,,0.0,0.0,1.0,23.329493087557605,11.816192560175054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476673427991886,0.0,0.0,1.740442811264822,0.0,0.0,25.796178343949045,0.0,0.0,0.0,0.0,,,,,None
18,192.168.18.9:50026<->35.232.111.17:50026,192.168.18.9,50026.0,35.232.111.17,0.0,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.99828751154936,224.99828751154936,0.0,0.0,0.0,224.99828751154936,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.740442811264822,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
19,35.232.111.17:80<->192.168.18.9:80,35.232.111.17,80.0,192.168.18.9,184.7540525433203,TCP,0.0,225.0,0.0,0.0,1.8255578093306288,0.0,8.598726114649681,2.112676056338028,5.908096280087527,0.0,0.0,0.0,0.0,0.0,0.0007545713873877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9982875117141,224.9982875117141,0.0,0.0,0.0,224.9982875117141,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0075455999999999995,8.598726114649681,2.112676056338028,7.776497695852536,0.0,0.0,225.0,0.0,0.0,0.0,32.14285714285714,,0.0,0.0,1.0,7.776497695852536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255578093306288,0.0,0.0,1.764760375494071,0.0,0.0,8.598726114649681,0.0,0.0,0.0,0.0,,,,,None
